Year,Siachen,Hoksar,Kolahoi,Shishram,Nehnar,Pensilungpa,Durung Drung,Stok,Rulung,Phuche,Khardung,Patsio,Gepang Gath,Samudra Tapu,Hamtah,Chhota Shigri,Bara Shigri,Batal,Sutri Dhaka,Gara,Gor Garang,Shaune Garang,Naradu,Dokriani,Chorabari,Satopanth,Tipra Bamak,Dunagiri,Naimona Nyi,Rikha Samba,Yala,Kangwure,Trakarding-Trambau,AX010,Changri Nup,Pokalde,Mera,Changme Khangpu,Gangju La,Thana,Urumqi Glacier No. 1,Ts. Tuyuksuyskiy,Golubin,Gregoriev,Kaindy,Sary-Tor,Southern Inylchek,Turgen-Aksuu,Kara Batkak,No 131,Abramov,Batysh Sook,Glacier No. 354,Glacier No. 599,Bordu,Davidov,Barkrak Sredniy,Dikhadang No 314,East Zulmart No 139,Glacier No 71 Yakarcha,No 457,No 676,Parlung Glacier No. 94,Muztag Ata Glacier No 15
1987,-0.232,,,,,,,,,,,,,,,,,,,,,-0.79,,,,,-0.02,-1.039,,,,,,,,,,,,,-0.18,-0.34,0.152,,,0.22,,,-0.682,-0.26,0.281,,,,,,,,,,,,,
1988,-0.261,,,,,,,,,,,,,,,,,,,,,-0.63,,,,,-0.61,-1.291,,,,,,,,,,,,,-0.64,-0.61,-0.432,-0.291,,-0.453,,,-0.456,-0.712,0.048,,,,,,,,,,,,,
1989,0.524,,,,,,,,,,,,,,,,,,,,,0.34,,,,,-0.14,-0.967,,,,,,,,,,,,,0.11,-0.46,-0.422,,,-0.167,,,-0.39,-0.354,-0.156,-0.499,,,,,,,,,,,,
1990,-0.468,,,,,,,,,,,,,,,,,,,,,-0.27,,,,,,-1.235,,,,,,,,,,,,,0.05,-0.96,-0.59,,,,,,-0.778,-0.282,-0.387,-0.676,,,,,,,,,,,,
1991,-0.721,,,,,,,,,,,,,,,,,,,,,-0.83,,,,,,,,,,,,,,,,,,,-0.71,-1.1,-0.573,,,,,,-0.398,-0.502,-0.353,-0.527,,,,,,,,,,,,
1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.25,,,,,,,,,0.02,-0.24,-0.454,,,,,,-0.352,,0.422,,,,,,,,,,,,,
1993,,,,,,,,,,,,,,,,,,,,,,,,-0.22,,,,,,,,-0.64,,,,,,,,,-0.03,0.602,-0.276,,,,,,-0.185,,0.449,,,,,,,,,,,,,
1994,,,,,,,,,,,,,,,,,,,,,,,,-0.23,,,,,,,,,,,,,,,,,-0.38,-0.443,-0.501,,,,,,-0.505,,-0.613,,,,,,,,,,,,,
1995,,,,,,,,,,,,,,,,,,,,,,,,-0.31,,,,,,,,,,,,,,,,,-0.23,-0.587,,,,,,,-0.515,,-0.88,,,,,,,,,,,,,
1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.53,,,,,,,0.04,-0.456,,,,,,,-0.374,,-0.45,,,,,,,,,,,,,
1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.49,,,,,,,-0.85,-1.467,,,,,,,-0.648,,-1.83,,,,,,,,,,,,,
1998,,,,,,,,,,,,,,,,,,,,,,,,-0.34,,,,,,,,,,-1.38,,,,,,,-0.79,-0.359,,,,,,,-0.36,,0.1,,,,,,,,,,,,,
1999,,,,,,,,,,,,,,,,,,,,,,,,-0.46,,,,,,-0.18,,,,-0.52,,,,,,,-0.79,-0.23,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,-0.38,,,,,,,,,,,,,,,,,-0.33,-0.113,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,-1.65,,,,,,,,-0.44,,,,,,,,,,,,,,,,,,-0.84,-0.555,,,,,,,,,,,,,,,,,,,,,,-0.01
2002,,,,,,,,,,,,,,,-1.41,,,,,,,,-0.35,,,,,,,,,,,,,,,,,,-0.83,-0.302,,,,,,,,,,,,,,,,,,,,,,-0.01
2003,,,,,,,,,,,,,,,-1.67,-1.1,,,,,,,-0.4,,,,,,,,,,,,,,,,,,-0.38,0.359,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,-1.89,-1.14,,,,,,,,,-0.74,,,,,,,,,,,,,,-1.23,,-0.76,0.062,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,-0.87,0.49,,,,,,,,,-0.79,,,,,,,,,,,,,,,,-0.49,-0.34,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,-1.55,-1.14,,,,,,,,,-0.82,,,,,,,,,,,,,,,,-0.77,-0.969,,,,,,,,,,,,,,,,,,,,,-0.938,-0.237
2007,,,,,,,,,,,,,,,-1.67,-0.91,,,,,,,,,-0.75,,,,,,,,,,,,,,,,-0.64,-0.915,,-0.36,,,,,,,,,,,,,,,,,,,-0.082,0.956
2008,,,,,,,,,,,,,,,-1.39,-0.67,,,,,,,,,-0.67,,,,-0.434,,,,,,,,0.39,,,,-0.93,-1.357,,,,,,,,,,,,,,,,,,,,,-1.004,0.079
2009,,,,,,,,,,,,,,,-1.02,0.29,,,,,,,,,-0.67,,,,-0.456,,,-1.09,,,,,-0.1,,,,0.06,0.206,,,,,,,,,,,,,,,,,,,,,-1.93,0.11
2010,,,,,,,,,,,,,,,,0.43,,,,,,,,,-0.66,,,,-0.303,,,-0.3,,,,-0.92,-0.48,,,,-1.33,0.032,,,,,,,,,,,,,,,,,,,,,-0.647,0.11
2011,,,,,,,,,,,,0.08,,,-1.46,-0.16,,,,,,,,,-0.73,,,,0.06,,,,,,-0.95,-0.11,0.46,,,,-0.95,-0.314,0.029,,,,,,,,,-0.371,-0.41,,,,,,,,,,0.155,0.05
2012,,,,,,,,,,,,-0.51,,,-1.19,-0.42,,,,,,,-1.1,,-0.73,,,,-0.65,-0.72,-0.86,,,,-1.73,-1.12,-0.67,,,,-0.71,-1.023,-0.318,,,,,,,,-0.421,-0.47,-0.46,,,,,,,,,,-1.478,0.05
2013,,,,,,,,,,,,-0.67,,,-1.9,-0.91,,,,,,,-1.15,,,,,,0.138,0.12,-0.01,,,,-0.92,-0.07,0.42,,-1.81,,-0.54,-0.34,-0.251,,,,,,,,-0.327,-0.363,-0.55,,,,,,,,,,-1.049,0.05
2014,,-0.72,,,,,,,,,,-0.25,,,-1.41,-0.05,,,,,,,-0.86,,,,,,-0.904,-0.55,-0.61,,,,-1.33,-1.23,-0.2,,-1.11,,-0.19,-1.088,-0.665,,,,,,-0.95,,-0.75,-0.459,-0.64,,,,,,,,,,-1.116,0.05
2015,,-0.78,-0.14,,,,,-0.26,,-0.52,-0.93,0.07,,,-1.19,-0.05,,,,,,,-0.79,,-0.63,-2,,,,-0.63,-1.18,,,,-1.28,-0.7,-0.02,,,,-0.82,-0.756,-0.565,,,-0.82,,,-0.88,,0.17,-0.822,-0.84,-0.062,,,,,,,,,-0.653,
2016,,-1.01,-0.31,,,,,-0.73,,-1.47,-2.14,-0.68,,,-1.67,-0.89,,,,,,,-0.77,-0.26,-0.72,,,,-1.114,-0.33,-0.61,,,,-0.75,-0.46,-0.2,,,,-0.78,0.561,0.13,,,-0.79,,,-0.39,,0.38,-0.425,-0.23,-0.725,-0.45,,,,,,,,-1.069,
2017,,-1.14,-1.53,,,-0.23,,-0.32,,-0.9,-0.97,-0.45,-1.05,-1.12,,-0.91,-0.56,-0.42,-0.87,,,,-0.63,,,,,,0.236,-0.23,-1.54,,-0.66,,-2.56,-0.89,-0.76,,,,-0.68,-1.113,-0.144,,,-1.34,,,-1.12,,-0.354,-0.872,-0.636,-0.197,-1.48,,,,,,,,-0.896,
2018,,-1.11,-0.95,,,-0.56,,-0.63,,,,,-1.51,-1.56,,-1.05,-0.82,-0.54,-1.34,,,,-0.69,,,,,,-0.355,-0.38,-1.542,,-0.82,,-2.1,-1.29,-0.92,,,,-0.71,-0.075,-0.05,,,-0.54,,,-0.81,,0.056,-0.743,-0.491,-0.278,-0.87,,,,,,,,-1.469,
2019,,-0.95,-1.23,,,,,-0.01,,,,,0.25,-0.22,,0.53,0.38,0.05,0.21,,,,,,,,,,,-0.26,-1.285,,,,-1.69,-1.12,-0.8,,,,-0.27,-0.58,-0.078,,,-0.85,,-0.567,-0.54,,-0.66,-1.048,-0.916,-0.433,-0.96,,,,-0.262,,,,-1.57,
2020,,-0.07,-0.09,,,,,,,,,,,,,-0.71,,-0.16,-0.23,,,,,,,,,,,-0.22,-0.87,,,,-0.83,-0.97,-0.49,,,-2.78,-0.23,-0.609,0.213,,,-0.01,,-0.343,-0.24,,0.124,0.004,0.922,0.015,-0.07,,-0.281,,-0.21,0.139,,-0.097,-1.489,
2021,,-1.44,-1.39,,,,,,,,,,,,,0.04,,-0.05,-0.1,,,,,,,,,,,-0.22,0.48,,,,-0.35,-0.15,0.29,,,-1.7,-0.8,-0.609,-0.194,,,-0.41,,-0.847,-0.49,,-1.296,-0.362,-1.1,-0.352,-0.65,,-0.671,,-0.206,,-0.353,,-2.065,
2022,,-1.53,-1.68,,,,-1.009,,,,,,-1.3,-1.6,,-1.71,,-0.56,-1.32,,,,,,,,,,,,-1.07,,,,-2.5,-0.84,-0.85,,,,-1.251,-1.13,-1.05,,,-1.27,,-1.055,-0.81,,-0.762,-0.941,-0.753,-1.458,-1.27,,-0.571,,-0.271,,-0.436,,,
2023,,,,,,,-0.38,,,,,,,,,0.21,,,,,,,,,,,,,,,-1.297,,,,-2.65,-2.35,-0.83,,,,-1.291,-0.488,-1.412,,,-1.51,,-0.855,-0.93,,-0.539,-1.192,-1.348,-0.868,-1.11,,-0.809,,-0.311,,-0.482,,,
2024,,,,,,,-1.092,,,,,,,,,0.114,,,,,,,,,,,,,,,,,,,-2.31,-2.36,-1.28,,,,-1.815,-0.761,-1.9,,,-1.09,,-1.094,-0.81,,-0.679,-1.491,-2.138,-1.144,-1.22,,,,-0.271,,-0.468,,,
